"tweetid","username","created_at","tweet","location","place","classification"
"1285582383027073024","ffyiEXO","2020-07-21 14:28:19+00:00","#seho ""But I'm not gonna interrupt if u need to talk about it
Roll my eyes or get offended by the way u doubt it
You know you're mine, you just forget sometimes
So promise me you won't
&amp; you know I'll remind you when you think I don't
Hey stupid, I ❤ U""
https://t.co/nqp67N6sIC","exo's messy dorm ",,"positive"
"1285582389234761728","TheGreatSeagull","2020-07-21 14:28:21+00:00","All Stars 5 would have been the right season for Drag Race to introduce a cooking show comedy challenge. What can't she do?","ShhTown",,"positive"
"1285582412790063108","bbykittenuwu","2020-07-21 14:28:26+00:00","Hiii, I just made an onlyfans ? link is in my bio. I’m a sub and enjoy being spoiled #onlyfansbabe #onlyfansgirl #onlyfans #nsfw #bbc #booty #daddy #girlswithtattoos #cashapp #tattoos #linkinbio #onlyfansgirl #egirl #subscribe #lgbt #beauty  #nsfw #hot #cammodel #bdsm #kawaii https://t.co/qHSta279yP",,,"positive"
"1285582422814470146","KairiSanebyLife","2020-07-21 14:28:29+00:00","to me you're not just an idol ❤ to me you're a model,you're a hero❤ Thank you so much for making me so happy all I liked about wrestling was you ❤❤ you are a very talented woman ❤ you filled my soul with love and happiness Thank you so much kairi ❤I'm gonna miss you❤??? https://t.co/5IWnWK90qE",,,"positive"
"1285582534252941312","daisukedrawer","2020-07-21 14:28:55+00:00","An older #drawing from last year, which I haven't upload yet. 
A good friend of mine asked me to draw her and she liked it ? I hope you like it as well ? 

#art #ArtistOnTwitter #twitterartist #nudedrawing #nsfw #nsfwart #pencilsketch #pencildrawing #artist https://t.co/DHb6GVZksx",,,"positive"
"1285582715358715907","Jessicaebersole","2020-07-21 14:29:38+00:00","Made respect to those in healthcare and the service industry who wear a mask for 8-12 hours a day. If they can wear one for that long, I can wear one for 20 min to go into Target ? #MaskUp",,,"positive"
"1285582729875202049","baxigian","2020-07-21 14:29:42+00:00","My Cookies for the #AdoptMeCookies 
They tasted great ?
Ingredients:
120g butter
75g light brown sugar
75g golden caster sugar
1 egg
1 tsp vanilla extract
180g plain four
1/2 tsp bicarbonate of soda
150g chocolate chips
Username: Baxigian https://t.co/6fu18eblOR",,,"positive"
"1285582751794692098","jadethuo","2020-07-21 14:29:47+00:00","Out with the ugly ? , we do interior mods customization to get your boost and meth kit gauge holders in neat placement stockish placement , use your vent and still get AC running as stock :) #RaceQ garage https://t.co/vhETCV0Ueo","Vāḻa vāḻa viṭuṅkaḷ",,"positive"
"1285582807209619456","___aishu___","2020-07-21 14:30:00+00:00","That's really sweet of you arshika ❤❤? Those days were fun too aah ??❤ Thank you soo soo much lots of love to youuu ❤❤","Chennai, India",,"positive"
"1285582809516642306","VZWSupport","2020-07-21 14:30:01+00:00","You deserve to be rewarded! ? We mean it. Take a sec and sign up for Verizon Up via the My Verizon app and see how you can get gift cards to your favorite restaurants, ticket discounts and so much more! ? 
https://t.co/UNIFIHf4iH https://t.co/zpqPPqbmEV",,,"positive"
