"tweetid","username","tweet","created_at","place","location","classification"
"1","kyoajin","i don't understand why EVERY social media copies twitter
like i be on instagram or tiktok and i see people posting tweets from here??? like be original omgg","2020-07-11 19:12:32",NULL,"she/her","neutral"
"2","CarlaBlack68","Enter for a chance to win my ultimate dream car.  I so want to win. I need a car right now so bad. If I dont win, then somebody needs to buy me a 1973 Pontiac Grand Am. LoL #chasethebolt… https://t.co/z5gBxcyeKO","2020-07-11 19:12:32","United States","Tipton, IN","neutral"
"3","x3bec","See also:???? H E Y hun! I have an AMAZING ???? opportunity 4 u &amp; your ????‍????‍????‍???? ‼️Since we need to wear ???? I have started a ???? business! ???? Work from your ???? and make ???????? selling CuTe  ???? to your ???????????? U will LOVE❣️ them! Link ↘️↘️ for more info! HURRY! only ✌️ spots available until ????‼️ https://t.co/jYRwM6ki0d","2020-07-11 19:12:32",NULL,NULL,"neutral"
"4","egodeathintexas","My Snapchat reminded me that last year I was living it up, swimming in some super rich philanthropists’ pool in their super bitching mansion &lt;/3 all I know is pain &lt;/3 https://t.co/f94uzdC6Lk","2020-07-11 19:12:33",NULL,"Dallas, TX","neutral"
"5","CpmcPodcast","Hey guys, a great Commish I know is running a $10, 100 person, winner take all, march madness style tournament. Details at this website...
https://t.co/pwCZxPejCv

There is a form you need to fill out on that site. Need 30 more people for it to fill.","2020-07-11 19:12:33",NULL,NULL,"neutral"
"6","kevosullivan07","Don't know about anyone else but watching man City, they just bore me.. Sorry I can't help it. Pep barca side the same.. Yeah they are brilliant sides but that style of play, I just can't watch too much of it..","2020-07-11 19:12:33",NULL,"Co. Cork ","neutral"
"7","soniardzz_","“Truly my soul finds rest in God, my salvation comes from Him;
Truly He is my rock and my salvation;
He is my fortress, I will never be shaken” ????","2020-07-11 19:12:34",NULL,"Laredo, TX","neutral"
"8","AMJColistra","Surprising?? Only CNN is surprised by this and probably disappointed by the news. This medicine saved my life when I was critically ill and probably the life of tens of thousands! #coronavirus #cnnsucks https://t.co/JS4VKZn3wK","2020-07-11 19:12:34",NULL,"New York","neutral"
"9","MusashiDokkodo","Just hit 200 followers!

To celebrate, I'm giving away a copy of my Meditation ebook.

Follow me and RT this to be entered!
Contest ends 9 am pacific, tomorrow morning.

https://t.co/s6VJDt6tUl","2020-07-11 19:12:35",NULL,NULL,"neutral"
"10","lorainbohs","wallet but I don’t even have a fucking picture of him and I am so so fucking angry at how she ignored every cry for help surrounding my mental health I displayed from such a young age. When I would cry and make myself sick because I didn’t want to go to those diet-culture-ass","2020-07-11 19:12:35",NULL,"meditating","neutral"
"11","realMathNerd","This delusional dum dum. Is he really just gonna ignore it all the way? Take some action you dumb racist motherfucking piece of shit!!!! I’ve already lost 2 people from this.","2020-07-11 19:12:35",NULL,"United States","neutral"
"12","JulieDart444","I have a dream of having my book turned into a movie! ""The Adventures of Jimmy and his red Jacket,"" is about a boy and his friends entering middle school. Jimmy is dreading the thought-that is until he stumbles upon this magical jacket where anything he wishes comes true! #Wish https://t.co/WtwcIJwsq6","2020-07-11 19:12:36",NULL,NULL,"neutral"
"13","CPT_Dunsel","I'd pull all that goya crap out of the pantry - donate and restock from Sysco, Kraft, or any other mfg'r of canned goods.","2020-07-11 19:12:36",NULL,"Mirror Universe","neutral"
"14","bitch_relapse","Best thing i EVER DID. I even get free sessions/tasks now and again for being such a loyal puppy. Don't miss out on a literal diamond of a lady

#findom #paypig #humanatm #finD #femdom","2020-07-11 19:12:36",NULL,NULL,"neutral"
"15","CrazyCrazzz","I don't care what seems economically feasible for you, children can also get infected and DIE from coronavirus. Those with compromised immune systems can be affected at any age and if they wont die they can spread it to someone else. It took a week to get test results for my step","2020-07-11 19:12:38",NULL,"Texas, USA","neutral"
